Code,%  Agreement,# of Codes
Sequence_Temporal,92.31,4
Compare_Contrast,93.85,7
Cognition,80,35
Desires_Preferences,95.38,9
Feelings_Emotions,96.92,5
Judgments_Perspectives,72.31,4
CausalEffects_ProblemSolve,86.15,25
Predictions_Forecast,92.31,4
MakingConnections,87.69,16
BackgroundKnowledge,73.85,31
