Code,%  Agreement,# of Codes
Sequence_Temporal,100,0
Compare_Contrast,100,2
Cognition,66.67,20
Desires_Preferences,79.17,5
Feelings_Emotions,100,0
Judgments_Perspectives,79.17,0
CausalEffects_ProblemSolve,79.17,15
Predictions_Forecast,12.5,4
MakingConnections,100,0
BackgroundKnowledge,16.67,20
